page_path,total_traffic,total_logins,navbar_cta_clicks,navbar_cta_logins,inline_cta_clicks,inline_cta_logins,sticky_cta_clicks,sticky_cta_logins,top_cta_clicks,top_cta_logins,exit_cta_clicks,exit_cta_logins,rhs_banner_cta_clicks,rhs_banner_cta_logins,bottom_mini_calculator_cta_clicks,bottom_mini_calculator_cta_logins
/s/due-date-tax-filing,167328,"1,006","2,964",23,"1,647",13,"2,383",25,"1,244",5,"3,115",2,68,0,0,0
/s/income-tax-slabs,153053,635,"8,260",30,"3,490",10,"8,105",20,"2,875",40,106385,120,"1,660",15,"1,950",0
/s/simple-compound-interest-calculator,132260,91,"1,876",4,151,0,"24,456",27,446,1,"31,075",26,39,0,4,0
/s/gratuity-calculator,113409,85,968,2,94,0,"4,736",10,615,9,"16,233",14,82,0,6,0
/s/world-gdp-ranking-list,105834,35,875,0,484,0,"1,495",3,"1,403",0,"22,386",7,80,1,20,0
/s/pricing,"76,849","10,490","46,154",320,0,0,"11,962",148,"1,354",0,"5,618",24,0,0,0,0
/s/gst-hsn-lookup,"66,079",5,"2,634",1,0,0,940,0,0,0,0,0,0,0,0,0
/s/tds-rate-chart,"61,618",28,"1,213",2,623,2,649,2,403,3,22,0,6,0,20,0
/s/salary-hike-calculator,"50,481",36,503,1,21,0,"4,732",7,239,2,"9,818",8,8,0,0,0
/s/section-10-of-income-tax-act,"47,976",32,263,0,211,0,251,0,126,1,"5,325",5,46,0,18,1
/s/salary-calculator,"46,309",43,356,1,31,0,"3,678",3,177,2,"5,346",3,12,0,8,0
/s/income-tax-rebate-us-87a,"45,684",36,321,4,315,0,377,0,136,2,"5,460",4,67,1,44,0
/s/which-itr-to-file,"45,010",49,815,3,207,0,338,0,219,4,"4,135",5,95,1,49,0
/s/section-115bac-features-new-tax-regime-benefits,"43,913",36,218,0,290,1,290,2,159,1,"4,708",5,63,1,55,0
/s/old-tax-regime-vs-new-tax-regime,"43,103",132,"1,449",9,210,0,"1,539",6,633,6,"18,381",12,294,0,570,3
/s/cost-inflation-index,"41,335",24,181,0,132,0,430,0,123,1,"4,310",7,65,0,5,0
/s/how-to-update-or-correct-pan-card-details,"39,140",162,"1,065",2,491,2,"2,814",22,147,0,"5,402",7,27,1,4,0
/s/telangana-ration-card,"36,056",147,542,2,539,5,"2,577",23,228,0,"1,924",10,24,0,1,0
/s/pf-balance-check,"35,410",127,"2,753",9,584,3,"4,319",24,364,6,"3,250",6,37,1,6,0
/s/capital-gains-income,"35,341",49,285,2,250,2,310,1,157,0,"3,320",9,65,0,19,0
/s/contact-sales,"33,149",139,"5,282",36,0,0,0,0,20,0,0,0,0,0,0,0
/s/long-term-capital-gains-ltcg-tax,"32,139",31,173,2,156,0,196,0,70,0,"3,898",6,53,1,0,0
/s/section-194i-tds-on-rent,"32,088",4,131,1,96,1,88,0,97,0,6,0,10,0,4,0
/s/pan-card-download,"31,595",254,"1,546",4,"1,062",9,"5,204",46,235,3,"2,857",11,43,5,0,0
/s/section-194j,"30,309",20,137,1,85,0,73,0,83,0,7,0,7,0,14,0
/s/section-80ccd,"29,968",21,158,1,192,2,107,0,68,1,"2,876",1,29,1,10,0
/s/swp-calculator,"29,704",15,627,0,38,0,"3,758",4,138,2,"9,233",5,23,0,2,0
/s/epf-withdrawal-online,"28,299",92,"1,479",5,323,3,"3,077",25,283,3,"3,556",7,32,2,8,0
/s/ration-card-e-kyc-online,"27,749",221,"1,403",10,"1,025",13,"3,663",24,330,8,"3,204",11,19,1,0,0
/s/senior-citizen-savings-scheme,"26,998",32,135,1,213,0,420,3,111,1,"8,040",8,35,0,3,0
/s/partner-l-t-finance,"26,635",7,"4,289",0,0,0,0,0,58,0,0,0,0,0,0,0
/s/short-term-capital-gains-stcg-tax,"26,069",21,107,1,143,0,135,0,84,1,"3,498",1,35,0,0,0
/s/hra-house-rent-allowance,"25,561",23,134,1,178,0,107,1,95,1,"2,195",2,26,0,17,0
/s/itr-validation-errors-and-solutions,"25,200",38,132,0,146,1,204,0,42,0,"1,940",2,32,1,1,0
/s/vaccine-certificate-download-by-aadhaar-number,"24,499",242,"2,521",17,750,7,"3,919",34,357,10,"2,922",12,34,0,0,0
/s/capital-gain-tax-on-sale-of-property-shares-gold,"23,868",20,171,0,206,0,206,1,79,0,"3,363",4,2,0,6,0
/s/ltcg-calculator,"23,409",44,475,1,46,0,"1,610",5,95,3,"3,115",2,26,0,3,0
/s/upi-transaction-charges,"22,812",8,82,0,49,0,273,1,73,0,"8,037",2,9,0,2,0
/s/pf-calculator,"22,564",4,182,0,5,0,904,0,56,0,"2,732",3,7,0,1,0
/s/gold-loan-interest-rates,"22,424",8,209,0,64,0,268,0,84,0,"5,459",3,6,0,0,0
/s/8th-pay-commission,"21,959",15,144,0,289,3,458,1,76,0,"4,600",3,26,1,8,0
/s/80c-80-deductions,"21,653",17,633,2,18,0,141,1,102,1,"1,899",1,50,0,13,0
/s/short-term-capital-gain-on-shares,"21,485",15,124,0,108,0,65,1,71,0,"1,989",2,16,0,4,0
/s/aadhar-card-address-change-online,"21,256",43,312,3,390,3,999,2,125,1,"3,500",5,0,0,1,0
/s/voter-list,"20,384",133,"1,979",9,"1,263",8,"3,875",36,270,6,"3,187",17,11,0,0,0
/s/medical-insurance,"20,144",11,77,1,86,0,103,1,33,0,"1,761",0,23,0,7,0
/s/set-off-carry-forward-losses,"20,103",9,93,0,158,0,85,0,53,0,"2,063",1,26,1,6,0
/s/form-10iea,"20,018",14,253,1,"2,459",1,"3,403",0,397,0,"2,112",1,43,1,3,0
/s/tax-audit-section-44ab,"20,001",24,115,1,144,0,78,0,51,2,"1,983",3,30,0,16,0
/s/section-80eea-deduction-affordable-housing,"19,917",7,52,0,61,1,62,0,199,0,"1,552",0,33,0,2,0
/s/long-term-capital-gains-on-shares,"19,437",15,110,0,92,0,55,0,47,1,"1,679",0,30,0,1,0
/s/section-54-capital-gains-exemption,"19,353",10,70,0,6,0,155,1,59,0,"2,571",1,27,0,0,0
/s/pradhan-mantri-kisan-samman-nidhi-scheme,"19,297",378,"2,538",6,"1,959",18,"7,101",42,645,3,"11,760",60,72,3,0,0
/s/section-194c-tds-on-contractor,"19,274",3,115,2,112,0,55,0,59,0,5,0,0,0,1,0
/s/compound-interest-calculator,"19,193",19,317,0,18,0,"2,548",2,97,2,"5,134",5,5,0,0,0
/s/pf-claim-status,"19,186",62,"1,201",4,265,2,"1,707",9,225,1,"1,496",1,12,1,1,0
/s/depreciation-income-tax-act,"19,060",5,138,0,76,0,60,2,119,0,1,0,0,0,1,0
/s/sip-calculator,"18,781",14,622,0,13,0,"2,065",6,98,0,"5,387",2,17,0,3,0
/s/section-194h-tds-on-commission-brokerage,"18,355",4,74,0,165,0,32,0,41,0,3,0,0,0,1,0
/s/invest-multiple-capital-gains-on-buying-new-house-property,"18,333",8,68,0,81,0,83,0,41,1,"2,476",1,2,0,3,0
/s/lta-leave-travel-allowance,"18,140",10,72,0,143,0,36,0,50,0,"1,373",0,25,0,11,0
/s/marginal-relief-surcharge,"17,997",10,72,1,39,0,67,0,40,1,"1,754",1,27,0,9,0
/s/an-overview-on-section-194q-of-the-income-tax-act-1961-ita,"17,846",,84,,122,,31,,47,,2,,0,,3,
/s/ap-ration-card,"17,394",113,691,9,489,5,"1,538",8,146,2,"2,179",8,17,0,2,0
/s/itr3,"17,283",33,462,8,409,3,329,0,147,2,"1,244",1,19,0,5,0
/s/income-tax-business-code-list,"17,281",11,241,1,62,0,51,0,55,1,"1,298",1,20,0,3,0
/s/how-to-efile-itr,"17,243",180,"8,410",25,"1,270",0,"3,620",25,"1,770",20,"8,320",15,350,0,115,0
/s/section-44ada,"17,180",13,109,0,160,1,88,0,44,0,"1,748",2,20,0,8,0
/s/form-10ba-of-income-tax-act,"17,084",19,206,1,413,0,240,1,110,2,"1,218",0,26,0,0,0
/s/leave-encashment-tax,"16,819",14,53,0,70,0,123,0,33,2,"1,764",2,11,0,1,0
/s/work-experience-calculator,"16,480",13,77,0,11,0,415,0,52,0,"2,077",5,6,0,0,0
/s/bharat-gas-booking-number,"16,207",21,155,0,109,2,638,3,100,1,"1,921",2,5,0,0,0
/s/deductions-under-section24-income-from-house-property,"16,021",13,104,0,85,0,81,0,38,1,"1,308",1,23,0,3,0
/s/form-15g-and-15h-to-save-tds-on-interest-income,"15,962",26,118,0,19,0,415,0,59,0,"2,462",0,12,0,3,0
/s/government-holiday-2025,"15,864",5,116,0,80,0,184,0,34,0,"1,643",2,13,0,2,0
/s/ltcg-sale-stocks,"15,610",15,83,0,58,1,91,0,36,0,"1,592",1,17,0,4,0
/s/itr-1-vs-itr-2,"15,429",21,151,1,64,0,61,0,54,0,"1,671",1,16,0,4,0
/s/view-form-26as-tax-credit-statement,"15,345",51,921,4,209,0,741,1,114,1,"1,366",2,25,0,9,0
/s/how-to-know-pan-card-number,"15,247",104,470,1,379,4,"1,602",14,78,2,"1,818",7,20,1,0,0
/s/tds-interest-calculator,"15,148",14,160,0,15,0,229,1,54,0,858,2,10,0,0,0
/s/section-44ad-presumptive-scheme,"15,058",16,68,1,227,1,55,1,65,1,"1,474",1,24,0,6,0
/s/epic-number-in-voter-id,"14,528",31,180,3,0,0,635,5,92,5,"2,537",4,8,0,0,0
/s/scss-calculator,"14,525",5,212,0,21,0,898,1,83,0,"3,917",2,10,0,1,0
/s/pm-kisan-status-check-aadhaar-card,"14,508",197,300,1,519,13,"2,643",20,115,0,"1,401",5,97,1,0,0
/s/itr2,"14,489",26,502,6,149,0,303,2,167,3,"1,248",4,50,0,7,0
/s/tds-payment-due-dates-and-penalties,"14,463",8,196,0,122,0,387,0,58,1,1,0,2,0,3,0
/s/aadhaar-card-link-with-mobile-number-check,"14,197",107,292,5,"1,212",14,"3,440",17,172,2,"1,229",2,4,0,1,0
/s/bank-of-india-balance-check-number,"14,145",18,190,0,221,1,450,1,61,0,"1,776",3,8,0,0,0
/s/residential-status,"14,133",10,115,0,68,0,175,1,43,0,"1,886",3,27,0,10,0
/s/gst-rates,"14,105",3,436,1,84,0,275,0,85,0,0,0,0,0,0,0
/s/what-is-form-16,"13,998",38,664,2,91,0,610,5,96,1,"1,356",2,13,2,4,0
/s/section-194a-tds-on-interest-other-than-interest-on-securities,"13,995",2,63,0,48,0,41,0,36,0,2,0,2,0,0,0
/s/how-to-update-mobile-number-in-aadhaar-card,"13,993",91,751,5,653,11,"2,194",13,183,4,"1,609",3,19,0,0,0
/s/e-pan-card-download,"13,740",297,519,3,396,10,"1,822",17,62,2,"1,037",5,12,1,1,0
/s/post-office-saving-schemes,"13,648",10,163,0,129,0,257,2,39,0,"4,486",0,29,0,5,0
/s/income-tax-refund,"13,617",33,519,0,31,0,654,5,121,4,"2,095",3,26,0,2,0
/s/house-property,"13,438",14,557,3,126,1,132,0,60,0,"1,689",2,17,0,7,0
/s/ration-card-download,"12,705",75,581,3,437,6,"1,622",10,130,4,"1,051",2,15,2,0,0
/s/section-80ee-income-tax-deduction-for-interest-on-home-loan,"12,637",4,46,0,31,0,17,0,24,0,701,1,5,0,1,0
/s/income-tax-on-intraday-trading,"12,598",12,71,1,97,0,108,0,26,0,"1,909",2,25,0,5,0
/s/how-to-file-tds-on-sale-property,"12,497",11,132,1,43,1,134,0,44,1,10,0,1,0,0,0
/s/tax-on-debt-funds,"12,035",9,57,3,66,0,48,0,34,0,"1,479",3,19,0,1,0
/s/8th-pay-commission-salary-calculator,"11,979",9,144,2,25,0,"1,658",2,85,1,"2,508",1,7,0,1,0
/s/income-tax-slab-for-senior-citizen,"11,948",23,56,1,103,1,255,2,43,0,"2,690",3,25,0,11,0
/s/cagr-calculator,"11,877",7,180,0,11,0,898,1,76,0,"2,009",3,1,0,1,0
/s/partner-team-lease,"11,699",55,"2,482",2,0,0,0,0,27,0,0,0,0,0,0,0
/s/rd-calculator,"11,692",14,265,0,26,0,"1,130",1,70,0,"2,704",5,14,0,1,0
/s/pan-card,"11,681",41,611,3,390,3,"2,035",13,200,2,972,7,5,0,2,0
/s/private-banks-in-india,"11,590",10,83,0,2,0,143,0,75,1,"2,451",1,13,1,0,0
/s/gst-number-search-by-name,"11,514",2,509,1,0,0,0,0,0,0,0,0,0,0,0,0
/s/sbi-saving-account-interest-rate,"11,340",8,87,0,74,1,124,0,42,1,"1,749",0,0,0,0,0
/s/fo-trader-return-filing,"11,287",13,199,2,84,0,96,1,65,0,"1,667",2,33,0,1,0
/s/tds,"11,249",8,334,1,192,1,170,0,77,1,8,0,1,0,6,0
/s/documents-required-for-passport,"11,231",5,109,0,0,0,167,1,40,0,"1,988",0,5,1,0,0
/s/sukanya-samriddhi-yojana,"11,194",9,459,3,48,0,756,3,117,0,"7,389",0,54,0,12,0
/s/contact-us,"11,194",,537,,0,,0,,0,,0,,0,,0,
/s/aadhar-card-name-change-online,"11,168",32,321,1,541,7,"1,111",5,95,0,"1,611",0,11,1,0,0
/s/sbi-kyc-update-online,"11,048",55,410,1,280,6,"1,028",6,71,0,"1,959",8,9,0,0,0
/s/section-192,"11,036",12,96,0,58,0,69,0,36,0,3,0,1,0,21,0
/s/partner-get-simpl,"11,033",24,418,1,0,0,0,0,31,0,0,0,0,0,0,0
/s/ration-card-status-check,"10,927",60,476,4,202,5,"1,151",4,133,1,"1,142",1,7,0,0,0
/s/form-15g-download-for-pf-withdrawal,"10,860",43,112,1,224,1,521,6,55,2,"1,058",1,11,0,2,0
/s/how-to-file-itr-2-form-for-income-from-capital-gains,"10,853",21,140,0,121,2,114,2,51,1,"1,165",1,22,0,1,0
/s/claiming-deduction-on-interest-under-section-80tta,"10,848",7,51,0,73,0,30,1,14,0,930,2,4,0,3,0
/s/gold-history-in-india,"10,801",5,116,0,19,0,134,0,29,0,"2,062",1,2,0,0,0
/s/fastag-annual-pass,"10,743",8,73,1,63,0,335,1,24,1,"3,048",1,5,0,0,0
/s/minor-pan-card,"10,612",44,210,0,304,5,951,3,73,2,"1,519",1,8,1,0,0
/s/sbi-annuity-deposit-scheme-calculator,"10,605",12,202,1,22,0,777,2,44,0,"5,223",6,7,0,0,0
/s/section-195,"10,579",10,18,0,5,0,12,0,29,0,836,1,1,0,4,0
/s/donation-under-section-80g-and-80gga,"10,579",2,56,0,20,0,42,0,27,0,982,0,13,0,4,0
/s/sbi-bank-balance-check-number,"10,474",21,766,2,134,2,663,7,66,1,"2,012",3,7,0,1,0
/s/section-194t-tds-on-payment-by-partnership-firm-to-partners,"10,444",3,70,0,118,0,15,0,52,0,3,0,4,0,1,0
/s/ladki-bahin-yojana-maharashtra,"10,419",52,782,4,484,2,"1,308",7,52,0,"1,386",3,10,1,0,0
/s/are-pensions-taxable,"10,406",6,40,0,84,0,49,0,24,0,"1,037",0,18,0,3,0
/s/gst-composition-scheme,"10,402",,72,,106,,81,,32,,0,,0,,0,
/s/roi-return-on-investment-calculator,"10,241",3,146,0,10,0,721,0,38,0,"1,356",2,3,0,0,0
/s/taxation-on-income-earned-from-selling-shares,"10,207",6,88,1,50,0,84,0,33,0,"1,328",0,6,0,4,0
/s/how-to-link-aadhaar-to-pan,"10,055",265,"2,490",5,"1,115",5,"16,265",40,940,0,"5,600",0,45,0,0,0
/s/books-of-accounts-and-audit-requirements-for-freelancers,"9,981",9,53,0,46,0,21,0,34,0,"1,006",2,15,0,1,0
/s/advance-tax,"9,972",8,124,1,84,0,71,2,25,0,4,0,1,0,1,0
/s/income-tax-exemption-on-gratuity,"9,933",5,38,0,40,0,22,0,28,0,900,0,7,0,4,0
/s/partner-remuneration-taxation,"9,929",2,22,0,49,0,39,0,20,0,910,0,17,0,0,0
/s/agricultural-income,"9,875",9,60,0,32,0,70,1,20,0,"1,336",0,12,0,6,0
/s/nsc-national-savings-certificate,"9,817",7,337,0,52,0,150,0,59,1,"2,160",0,11,0,1,0
/s/7th-pay-commission-pay-scales,"9,750",4,33,0,26,0,106,0,52,1,785,0,13,0,1,0
/s/tamil-nadu-government-holidays-list-2025,"9,741",2,30,0,11,0,84,0,22,0,826,0,6,0,0,0
/s/e-invoicing-enterprise-software,"9,664",35,"1,215",4,0,0,"1,129",17,0,0,0,0,0,0,0,0
/s/gst-state-code-jurisdiction,"9,613",2,77,0,66,0,209,0,50,0,0,0,0,0,0,0
/s/ppf-calculator,"9,571",12,246,0,5,0,852,1,45,0,"2,183",2,9,0,1,0
/s/reverse-charge-gst,"9,480",4,106,0,65,0,62,1,32,0,0,0,0,0,0,0
/s/life-insurance-taxability,"9,455",11,39,0,26,0,28,0,26,0,"1,197",3,14,0,6,0
/s/huf-hindu-undivided-family,"9,447",33,74,0,75,0,88,0,23,0,4,0,1,0,1,0
/s/tax-collected-source,"9,428",9,45,0,29,0,34,0,28,0,3,0,2,0,3,0
/s/impact-gst-on-rent,"9,351",1,23,0,52,0,50,0,30,0,0,0,0,0,0,0
/s/eway-bill-gst-rules-compliance,"9,349",1,77,0,82,0,84,0,30,0,0,0,0,0,0,0
/s/can-we-change-tax-regime-while-filing-itr,"9,349",8,101,0,54,0,42,0,28,1,924,0,20,0,0,0
/s/income-tax-allowances-and-deductions,"9,340",6,89,1,61,0,48,0,24,0,"1,130",0,15,0,7,0
/s/how-dividends-taxable,"9,313",8,32,0,23,0,25,0,26,0,982,1,11,0,3,0
/s/sbi-fd-interest-rates,"9,204",2,76,0,35,0,116,0,30,0,"1,927",1,5,0,1,0
/s/interest-imposed-by-income-tax-department-under-section-234c,"9,192",8,37,0,63,0,26,0,17,0,10,0,2,0,5,1
/s/section-175-of-cgst-act,"9,083",3,65,0,62,1,42,0,30,1,0,0,0,0,0,0
/s/voter-id-address-change,"9,036",27,180,1,73,0,377,2,47,2,"1,901",2,10,0,0,0
/s/section-80-ccd-1b,"9,005",2,26,0,12,0,30,0,14,0,692,1,9,0,2,0
/s/pf-balance-withdrawal-incometax,"8,992",6,44,0,92,0,38,0,80,0,"1,099",1,16,1,2,0
/s/standard-deduction-salary,"8,913",14,47,0,70,0,65,0,19,0,604,0,7,0,4,1
/s/get-help-with-salary-arrears,"8,910",9,49,0,118,0,102,1,28,0,"1,106",2,17,0,3,0
/s/ayushman-card,"8,798",22,301,1,202,1,362,0,46,1,"2,003",2,3,0,0,0
/s/sbi-gold-loan-interest-rate,"8,781",4,72,1,87,1,202,0,30,0,"2,454",0,4,0,0,0
/s/gstr-1,"8,702",4,264,0,82,0,100,1,50,0,0,0,0,0,0,0
/s/gst-calculator,"8,649",5,267,0,0,0,819,2,29,0,"1,099",0,10,0,0,0
/s/different-mutual-funds-taxed,"8,530",7,48,0,16,0,53,0,23,0,"1,301",2,19,0,5,0
/s/cryptocurrency-taxation-guide,"8,514",6,92,0,39,0,78,0,49,1,"1,306",0,1,0,1,0
/s/npci-aadhaar-link-status,"8,504",78,555,2,353,7,"1,190",10,58,1,"1,561",8,8,0,0,0
/s/tuition-fees-deduction-under-section-80c,"8,465",13,25,2,27,0,17,0,17,0,655,0,5,0,2,0
/s/how-to-link-mobile-number-with-bank-account,"8,435",92,770,2,"1,274",27,"2,499",22,294,5,"1,312",10,9,0,0,0
/s/leave-encashment-calculator,"8,325",3,69,0,9,0,541,0,18,1,927,0,2,0,0,0
/s/ppf,"8,307",5,86,0,52,0,85,0,18,1,"1,185",1,9,0,2,0
/s/itr-u-updated-income-tax-return,"8,180",22,140,1,146,0,123,0,47,0,0,0,0,0,0,0
/s/gst-return-late-fees,"8,023",2,29,0,6,0,65,0,31,0,0,0,0,0,0,0
/s/gruha-jyoti-scheme-karnataka,"7,993",41,180,1,143,1,585,7,40,1,"1,422",3,3,0,0,0
/s/government-banks-in-india,"7,948",1,56,0,58,0,75,0,51,0,"1,609",1,4,0,0,0
/s/section-80ttb,"7,914",10,18,0,52,0,32,0,16,0,797,1,15,1,1,0
/s/post-office-rd-calculator,"7,902",11,18,0,13,0,632,1,29,1,"2,003",2,0,0,0,0
/s/petrol-price-india-history,"7,822",3,143,0,6,0,87,0,20,0,"1,397",1,6,0,0,0
/s/transport-allowance,"7,793",3,23,0,41,0,26,0,22,0,814,0,7,0,1,0
/s/aadhar-card-download,"7,774",135,864,3,9,0,"1,602",6,96,3,"1,494",6,21,3,0,0
/s/partner-angelone,"7,703",32,681,4,0,0,0,0,45,0,0,0,0,0,0,0
/s/how-are-gifts-taxed,"7,673",6,24,0,27,0,32,0,15,0,"1,328",1,5,0,2,0
/s/conveyance-allowance-exemption-limit,"7,660",3,13,0,68,0,16,0,15,0,664,0,8,0,0,0
/s/voter-id-name-change,"7,639",21,109,0,143,1,373,2,39,0,"1,702",3,4,0,1,0
/s/itr-3-vs-itr-4-difference,"7,594",10,72,0,72,0,52,1,14,0,812,1,12,1,1,0
/s/voter-id,"7,584",13,288,0,12,0,679,5,55,1,"1,068",0,4,0,0,0
/s/section-171-definition-of-salary-under-the-income-tax-act,"7,498",4,44,0,81,0,24,0,10,0,553,0,9,0,4,0
/s/tds-under-goods-and-service-tax,"7,378",3,38,0,36,0,41,0,26,0,0,0,0,0,0,0
/s/how-to-add-update-bank-account-in-epfo,"7,368",37,206,3,89,1,496,3,26,0,"1,085",1,7,0,0,0
/s/sbi-mini-statement,"7,324",20,124,0,176,0,580,3,36,0,"1,255",2,4,0,0,0
/s/professional-tax-maharashtra,"7,316",5,95,0,47,0,54,0,25,0,670,1,14,0,1,0
/s/gst-registration-limits-increased,"7,316",4,30,0,78,0,40,0,29,0,0,0,0,0,0,0
/s/kyc-update-online,"7,307",34,588,1,482,10,"1,525",11,68,0,883,3,18,1,0,0
/s/how-to-show-fno-loss-in-income-tax-return,"7,172",12,78,0,63,1,67,1,40,0,826,2,12,0,0,0
/s/sbi-cif-number,"7,168",19,101,0,99,1,238,1,43,0,"1,001",1,4,0,0,0
/s/sahara-refund,"7,166",32,714,2,277,1,939,4,95,0,"1,371",2,3,0,0,0
/s/analysis-of-section-194r-of-the-income-tax-act-1961,"7,159",3,23,0,20,0,22,0,16,0,462,0,6,0,4,0
/s/domicile-certificate,"7,143",20,175,0,155,2,456,2,56,0,726,0,8,0,0,0
/s/gst-registration,"7,129",68,233,4,0,0,291,0,69,0,0,0,0,0,0,0
/s/section194ib-194ic-under-income-tax-act,"7,110",3,18,0,16,0,14,0,25,0,1,0,0,0,1,0
/s/how-to-change-date-of-birth-in-aadhaar-card,"7,099",39,28,0,205,4,"1,090",13,75,9,992,0,2,0,0,0
/s/claim-deduction-under-section-80gg-for-rent-paid,"7,093",6,38,1,46,0,31,0,17,0,654,0,7,1,1,0
/s/income-tax-on-fixed-deposit-interest,"7,081",9,56,0,5,0,54,1,10,0,"1,006",3,7,0,2,0
/s/gst-input-tax-credit,"7,078",2,122,0,68,0,100,0,27,0,0,0,0,0,0,0
/s/caro-companies-auditors-report-order-2020,"6,983",5,49,0,12,0,48,0,35,0,1,0,1,0,2,0
/s/dbt-payment-status-check,"6,878",36,348,2,250,4,622,3,34,1,951,2,8,0,0,0
/s/income-tax-for-nri,"6,866",21,510,3,85,2,102,2,81,2,840,3,8,0,1,0
/s/404error,"6,859",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/s/how-much-gold-is-allowed-from-dubai-to-india,"6,831",3,46,0,36,0,52,0,11,0,"1,567",0,4,0,0,0
/s/rental-agreement-format-download,"6,744",45,86,1,49,0,152,0,18,0,639,0,10,0,0,0
/s/corporate-social-responsibility,"6,717",4,65,0,37,0,39,0,32,0,0,0,0,0,0,0
/s/form-10ia,"6,697",2,26,0,219,0,51,0,25,0,679,1,13,0,0,0
/s/higher-pension-scheme-epfo,"6,632",15,145,0,96,0,368,1,36,0,"1,539",2,17,0,0,0
/s/home-loan-tax-benefits,"6,630",4,52,1,37,0,35,0,21,0,677,0,10,0,6,0
/s/how-to-exchange-2000-notes-in-bank,"6,628",6,14,0,85,0,117,0,18,0,"2,063",1,4,0,0,0
/s/gst-late-fee-interest-calculator,"6,624",1,59,1,0,0,0,0,0,0,0,0,0,0,0,0
/s/how-to-find-pf-account-number,"6,620",25,179,0,121,4,513,2,67,4,736,0,1,0,0,0
/s/rbi-customer-care,"6,619",26,110,2,217,3,667,3,29,0,907,3,8,0,0,0
/s/punjab-government-holiday-list-2025,"6,571",3,8,0,16,0,76,0,18,0,193,0,3,0,0,0
/s/perquisites-in-income-tax,"6,535",1,31,0,49,0,22,0,13,0,651,0,11,0,2,0
/s/universal-account-number,"6,531",20,719,3,64,0,552,3,66,1,459,0,4,0,0,0
/s/ration-cards-types-benefits,"6,529",9,114,0,79,1,231,1,55,0,"1,170",1,5,0,0,0
/s/e-invoicing-gst,"6,457",1,365,0,43,0,49,0,54,0,0,0,0,0,0,0
/s/stock-average-calculator,"6,431",11,121,1,3,0,760,2,35,1,"2,038",1,2,0,0,0
/s/tax-on-pf-provident-fund,"6,407",6,23,0,23,0,34,1,16,1,591,0,2,0,1,0
/s/pan-card-in-48-hours,"6,403",28,84,0,107,2,415,2,18,1,"1,020",1,3,0,0,0
/s/taxcloud,"6,383",160,"5,541",148,0,0,0,0,0,0,0,0,0,0,0,0
/s/duplicate-pan-card,"6,382",28,88,0,74,0,355,1,22,0,669,2,12,0,0,0
